hotel_id,name,hotel_link,stars,rating,reviews,address,intro,price,room_type,province
19,Khách sạn Gloud Hà Nội,https://www.ivivu.com/khach-san-ha-noi/gloud-hotel,4.0,0.0,,"26-28 P. Miếu Đầm, Mễ Trì","Quận Nam Từ Liêm, Nhận phòng [24 giờ], Nhận/trả phòng [nhanh], Wi-Fi [miễn phí], Bãi đỗ xe [miễn phí], +1, ",1.375.000,Deluxe,ha-noi
20,Khách sạn Chalcedony Hà Nội,https://www.ivivu.com/khach-san-ha-noi/chalcedony-hotel,3.5,0.0,,"4 Phường Nguyễn Trường Tộ, Nguyễn Trung Trực","Quận Ba Đình, +1, ",1.099.000,Superior,ha-noi
21,Khách sạn Sen Hà Nội,https://www.ivivu.com/khach-san-ha-noi/sen-hotel,3.0,0.0,,"26B Nguyễn Khánh Toàn, Cầu Giấy","Quận Cầu Giấy, Trung tâm Hà Nội, Cầu Giấy, Hiện Đại, Tiện lợi, Gần Hồ Tây, Gần Bảo tàng",825.000,Standard Room,ha-noi
22,Khách sạn 22Land Residence Hà Nội - 50 Trương Công Giai,https://www.ivivu.com/khach-san-ha-noi/22land-residence-ha-noi,4.0,0.0,,"50 Trương Công Giai, quận Cầu Giấy","Quận Cầu Giấy, Cầu Giấy, Trung Tâm Hà Nội, Phong cách Địa Trung Hải",1.100.000,Deluxe,ha-noi
23,Khách sạn M Village Thợ Nhuộm Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-m-village-hotel-tho-nhuom-ha-noi,3.0,0.0,,"54 Tho Nhuom, Tran Hung Dao Ward",,1.100.000,Superior,ha-noi
24,Khách sạn Canary Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-canary-ha-noi,3.0,0.0,,"4 Vũ Hữu Lợi, Q.Hai Bà Trưng","Quận Hai Bà Trưng, +1, ",990.000,Canary Emerald - Deluxe,ha-noi
25,Le Jardin Hotel & Spa Hà Nội,https://www.ivivu.com/khach-san-ha-noi/hanoi-le-jardin-hotel-spa,4.0,8.0,,46A Nguyễn Trường Tộ,"Quận Ba Đình, Gần Phố Cổ & Hồ Gươm, Hướng góc hồ Tây, Cửa sổ lớn",1.760.000,Cozy Le Jardin Classic,ha-noi
26,Khách sạn Le Jardin Haute Couture Hà Nội,https://www.ivivu.com/khach-san-ha-noi/le-jardin-hotel-haute-couture,4.0,3.0,,"105 Nguyễn Trường Tộ, quận Ba Đình","Quận Ba Đình, Gần Hồ Tây",1.644.500,Classic Twin Room,ha-noi
27,Khách sạn Dusit Le Palais Từ Hoa Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-dusit-le-palais-tu-hoa-ha-noi,5.0,0.0,,"9 Ngõ 431 Đường Âu Cơ, Nhật Tân",Quận Tây Hồ,3.052.000,Superior Room,ha-noi
28,Khu căn hộ Fraser Suites Hà Nội,https://www.ivivu.com/khach-san-ha-noi/fraser-suites-ha-noi,5.0,22.0,,"51 Xuân Diệu, quận Tây Hồ","Quận Tây Hồ, Cách Hồ Tây 5 phút đi bộ, Hồ bơi ngoài trời, Phòng gym, Phòng gia đình, +2, ",2.420.000,Studio Deluxe,ha-noi
29,Khu căn hộ Somerset Hòa Bình Hà Nội,https://www.ivivu.com/khach-san-ha-noi/somerset-hoa-binh-ha-noi,4.0,19.0,,"106 Hoàng Quốc Việt, quận Cầu Giấy","Quận Cầu Giấy, Tiện nghi hữu ích, Thoải mái và an toàn, Căn hộ, Somerset Hòa Bình",1.754.000,Studio Executive,ha-noi
30,Khu căn hộ Somerset West Point Hà Nội,https://www.ivivu.com/khach-san-ha-noi/somerset-west-point-ha-noi,4.0,2.0,,"2 Tây Hồ, quận Tây Hồ","Quận Tây Hồ, Gần Chùa Trấn Quốc",3.203.500,1 Bedroom Deluxe,ha-noi
