hotel_id,name,hotel_link
51,Khách sạn La Siesta Premium Hàng Bè Hà Nội,https://www.ivivu.com/khach-san-ha-noi/la-siesta-premium-hang-be-ha-noi
52,La Sinfonía del Rey Hotel & Spa Hà Nội,https://www.ivivu.com/khach-san-ha-noi/la-sinfonia-del-rey-hotel-spa
53,Khách sạn Minasi Premium Hà Nội,https://www.ivivu.com/khach-san-ha-noi/minasi-premium-hotel
54,Khu căn hộ Somerset Grand Hà Nội,https://www.ivivu.com/khach-san-ha-noi/somerset-grand-ha-noi
55,Wil'que Westlake Hotel & Residences Hà Nội,https://www.ivivu.com/khach-san-ha-noi/somerset-west-lake-ha-noi
56,Khách sạn Champton Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-the-light-ha-noi
57,Khách sạn Mercure Hà Nội La Gare,https://www.ivivu.com/khach-san-ha-noi/khach-san-mercure-ha-noi-la-gare
58,Khách sạn Thắng Lợi Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-thang-loi-ha-noi
59,Khách sạn La Siesta Classic Mã Mây Hà Nội,https://www.ivivu.com/khach-san-ha-noi/hanoi-la-siesta-hotel-spa
60,Khách sạn Sheraton Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-sheraton-ha-noi
61,Khách sạn Grand Cititel Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-grand-cititel-ha-noi
62,Anise Hotel & Spa Hà Nội,https://www.ivivu.com/khach-san-ha-noi/anise-hanoi
63,Hà Nội Babylon Grand Hotel & Spa,https://www.ivivu.com/khach-san-ha-noi/hanoi-babylon-grand-hotel-spa
64,Khách sạn The Five Suites Lilas Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-the-five-suites-lilas-ha-noi
65,Khách sạn Imperial Hà Nội,https://www.ivivu.com/khach-san-ha-noi/hanoi-imperial
66,Khách sạn Church Boutique 21 Hàng Cá Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-church-boutique-21-hang-ca-ha-noi
67,Khách sạn Mia Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-mia-ha-noi
68,Khách sạn Daewoo Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-daewoo-ha-noi
69,Khách sạn Silk Path Boutique Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-silk-path-boutique-ha-noi
70,Khách sạn Sunline Hà Nội,https://www.ivivu.com/khach-san-ha-noi/sunline-hotel
71,Khách sạn Hôtel du Parc Hà Nội,https://www.ivivu.com/khach-san-ha-noi/hotel-du-parc-hanoi
72,Khách sạn Hà Nội Starlight,https://www.ivivu.com/khach-san-ha-noi/hanoi-blue-sky-hotel-2
